,0_x,STATION,0_y,1
0,4,104TH STREET,40.747820000000004,-73.86063890000001
1,3,104TH STREET-LIBERTY AVENUE,40.68173710000001,-73.8377128
2,79,111TH STREET,40.7600806,-73.8592493
3,2,121ST STREET,40.701840000000004,-73.82973790000001
4,1,125TH STREET,40.707399,-73.8269959
5,183,125TH STREET-LEXINGTON AVE,40.8043226,-73.9374094
6,13,138TH ST-GRAND CONCOURSE,40.8132651,-73.92990390000001
7,3,138TH STREET-3RD AVE,40.81005,-73.92514200000001
8,4,145TH STREET,40.703338,-73.81057790000001
9,3,149TH ST-GRAND CONCOURSE,40.818233899999996,-73.9274649
10,12,149TH STREET & 3RD AVENUE,40.7623486,-73.8160267
11,197,14TH STREET & 7TH AVENUE,40.738766399999996,-73.9997054
12,92,14TH STREET-6TH AVENUE,40.7373064,-73.99668170000001
13,568,14TH STREET-UNION SQUARE,40.7345201,-73.9902886
14,58,157TH STREET-BROADWAY,40.8340265,-73.9448965
15,5,161ST STREET-YANKEE STADIUM,40.8278854,-73.92590820000001
16,6,163RD ST & AMSTERDAM AVE,40.8369515,-73.940147
17,11,168TH STREET & BROADWAY,40.84161829999999,-73.93939509999998
18,9,169TH STREET & HILLSIDE AVE,40.710153000000005,-73.7942642
19,19,181ST STREET-ST NICHOLAS AV,40.8490975,-73.93374709999999
20,1,18TH AVE-MCDONALD AVE,40.629611,-73.9769496
21,136,18TH STREET-7TH AVENUE,40.74103770000001,-73.9978619
22,8,191ST STREET-ST NICHOLAS AV,40.855256,-73.9293871
23,2,207TH STREET,40.755131,-73.77447790000001
24,2,215TH STREET,40.761796000000004,-73.76789190000001
25,2,219TH ST-WHITE PLAINS ROAD,40.883806299999996,-73.862641
26,2,21ST STREET-JACKSON AVENUE,40.7477659,-73.94075790000001
27,8,21ST STREET-QUEENSBRIDGE,40.7538909,-73.94227579999999
28,276,225TH STREET,40.662007,-73.7545959
29,8,231ST STREET,40.758873,-73.7527719
30,3,233RD ST-WHITE PLAINS ROAD,40.8933654,-73.85735509999999
31,9,238TH STREET-BROADWAY,40.8850362,-73.9007288
32,127,23RD STREET-6TH AVENUE,40.7428886,-73.992802
33,316,23RD STREET-PARK AVE SOUTH,40.7401787,-73.9863823
34,297,28TH STREET-7TH AVENUE,40.7472153,-73.99336650000001
35,386,33RD STREET-PARK AVENUE,40.7463947,-73.9818293
36,545,34TH STREET - PENN STATION,40.7509993,-73.990625
37,8,36TH STREET-4TH AVENUE,40.654283500000005,-74.00437690000001
38,16,3RD AVENUE-14TH STREET,40.665028,-73.98644990000001
39,16,40TH STREET-LOWERY STREET,40.743874600000005,-73.9244309
40,378,42ND STREET & GRAND CENTRAL,40.7517736,-73.9769013
41,506,42ND STREET/TIMES SQUARE,40.755998999999996,-73.9863389
42,21,46TH ST-BLISS ST,40.7431326,-73.9182509
43,45,46TH STREET-BROADWAY,40.756685,-73.91404709999999
44,8,4TH AVENUE-9TH STREET,40.67035739999999,-73.9900272
45,2,50TH STREET-NEW UTRECHT AVE,40.636068,-73.99478640000001
46,132,57TH STREET & 7TH AVENUE,40.765509200000004,-73.9800305
47,201,57TH STREET-6TH AVENUE,40.764214100000004,-73.97727040000001
48,360,59TH STREET & LEXINGTON AVE,40.7627515,-73.9674728
49,160,59TH STREET/COLUMBUS CIRCLE,40.7679985,-73.98190799999999
50,2,63RD DRIVE-REGO PARK,40.722972,-73.8669459
51,11,65TH STREET-BROADWAY,40.749646899999995,-73.8984007
52,9,67TH AVENUE-QUEENS BLVD,40.726797,-73.8532478
53,600,68TH STREET-HUNTER COLLEGE,40.76786729999999,-73.9640766
54,2,71ST STREET-NEW UTRECHT AVE,40.61932589999999,-73.9989348
55,167,72ND STREET & BROADWAY,40.779016399999996,-73.9818618
56,88,72ND STREET-CENTRAL PK WEST,40.7762665,-73.9763215
57,1,75TH AVENUE-QUEENS BLVD,40.7184711,-73.8373842
58,5,75TH STREET & ELDERTS LANE,40.691321,-73.8672547
59,2,77TH STREET-4TH AVENUE,40.62943370000001,-74.0255833
60,71,79TH STREET-BROADWAY,40.7840729,-73.980242
61,15,7TH AVENUE-9TH STREET,40.6669775,-73.9816502
62,72,82ND STREET-JACKSON HEIGHTS,40.7670326,-73.8876976
63,322,86TH ST-CENTRAL PARK WEST,40.785537100000006,-73.96964270000001
64,3,86TH STREET-4TH AVENUE,40.62297279999999,-74.0282305
65,107,86TH STREET-BROADWAY,40.788391499999996,-73.9769395
66,9,90TH STREET/ELMHURST AVENUE,40.7484278,-73.8767956
67,284,96TH STREET-BROADWAY,40.794540600000005,-73.97190920000001
68,16,AIRTRAIN @ HOWARD BEACH,40.662031,-73.8263643
