,STATION,LAT,LON,FF,Pickup_Count,Dropoff_count
0,WHITEHALL STREET,40.562644,-74.1237739,42006,,2
1,CYPRESS HILLS,40.6770477,-73.8912474,3682,,
2,75TH STREET & ELDERTS LANE,40.691321,-73.8672547,8878,1,5
3,WOODHAVEN BOULEVARD,40.7333057,-73.87059599999999,9806,1,1
4,104TH STREET,40.747820000000004,-73.86063890000001,6916,1,4
5,111TH STREET,40.7600806,-73.8592493,6069,212,79
6,121ST STREET,40.701840000000004,-73.82973790000001,5429,,2
7,FULTON STREET,40.686309,-73.97443990000001,100827,2,4
8,FIFTH AVENUE,40.75801405,-73.9769563693561,88005,279,261
9,LEXINGTON AVENUE,40.80567,-73.9364709,22471,7,17
10,LEXINGTON AVENUE,40.80567,-73.9364709,107595,7,17
11,ROOSEVELT AVE/JACKSON HTS,40.746818100000006,-73.8917048,95929,2,14
12,SUTPHIN BOULEVARD,40.6945556,-73.8021147,45887,2,6
13,WALL STREET,40.7060176,-74.008831,74185,57,67
14,WALL STREET,40.7060176,-74.008831,65159,57,67
15,PARK PLACE,40.673120000000004,-73.94462790000001,159827,,
16,CHAMBERS STREET,40.71552,-74.00923890000001,58704,92,96
17,42ND STREET/TIMES SQUARE,40.755998999999996,-73.9863389,98958,650,506
18,42ND STREET/TIMES SQUARE,40.755998999999996,-73.9863389,190577,650,506
19,168TH STREET & BROADWAY,40.84161829999999,-73.93939509999998,58434,2,11
20,DYCKMAN STREET,40.859364899999996,-73.9233135,14743,,4
21,207TH STREET,40.755131,-73.77447790000001,10405,,2
22,215TH STREET,40.761796000000004,-73.76789190000001,4311,,2
23,225TH STREET,40.662007,-73.7545959,12263,482,276
24,231ST STREET,40.758873,-73.7527719,18379,1,8
25,BOWLING GREEN & BROADWAY,40.70496825,-74.01365750602359,12860,21,33
26,BROOKLYN BRIDGE,40.701042799999996,-73.9903533,90520,2,3
27,42ND STREET & GRAND CENTRAL,40.7517736,-73.9769013,87214,411,378
28,42ND STREET & GRAND CENTRAL,40.7517736,-73.9769013,231839,411,378
29,42ND STREET & GRAND CENTRAL,40.7517736,-73.9769013,111249,411,378
30,42ND STREET & 3RD AVENUE,40.642711,-73.9942729,32115,1,
31,59TH STREET & LEXINGTON AVE,40.7627515,-73.9674728,70166,429,360
32,59TH STREET & LEXINGTON AVE,40.7627515,-73.9674728,94830,429,360
33,WOODLAWN ROAD,40.898154999999996,-73.8673573,11280,,
34,149TH STREET & 3RD AVENUE,40.7623486,-73.8160267,39094,1,12
35,MAIN STREET,40.7032441,-73.9906657,94467,8,15
36,NEVINS STREET,40.6784721,-73.98782309999999,25769,,1
37,BARCLAYS CENTER,40.682612899999995,-73.9751106552432,108006,10,7
38,BERGEN STREET,40.6824707,-73.97956059999999,8636,11,12
39,GRAND ARMY PLAZA,40.6741411,-73.9701392550962,17319,5,15
40,EASTERN PARKWAY,40.672951899999994,-73.9681929,10456,1,14
41,NOSTRAND AVENUE,40.6783847,-73.9481991,8393,,18
42,UTICA AVENUE,40.662756,-73.9315559,50977,1,4
43,SUTTER AVENUE,40.666746,-73.9129099,17648,,
