,LAT,LON,FF
0,40.562644,-74.1237739,42006
1,40.6770477,-73.8912474,3682
2,40.691321,-73.8672547,8878
4,40.7333057,-73.870596,9806
5,40.74782,-73.8606389,6916
6,40.7600806,-73.8592493,6069
7,40.70184,-73.8297379,5429
12,40.686309,-73.9744399,100827
13,40.75801405,-73.9769563693561,88005
14,40.80567,-73.9364709,22471
15,40.80567,-73.9364709,107595
16,40.7468181,-73.8917048,95929
22,40.6945556,-73.8021147,45887
24,40.7060176,-74.008831,74185
26,40.67312,-73.9446279,159827
27,40.71552,-74.0092389,58704
29,40.755999,-73.9863389,98958
30,40.755999,-73.9863389,190577
32,40.8416183,-73.9393951,58434
33,40.8593649,-73.9233135,14743
34,40.755131,-73.7744779,10405
35,40.761796,-73.7678919,4311
36,40.662007,-73.7545959,12263
37,40.758873,-73.7527719,18379
39,40.70496825,-74.0136575060236,12860
40,40.7060176,-74.008831,65159
41,40.7010428,-73.9903533,90520
42,40.7517736,-73.9769013,87214
43,40.7517736,-73.9769013,231839
44,40.7517736,-73.9769013,111249
45,40.642711,-73.9942729,32115
47,40.7627515,-73.9674728,70166
48,40.7627515,-73.9674728,94830
49,40.898155,-73.8673573,11280
50,40.7623486,-73.8160267,39094
52,40.7032441,-73.9906657,94467
53,40.6784721,-73.9878231,25769
54,40.6826129,-73.9751106552432,108006
55,40.6824707,-73.9795606,8636
56,40.6741411,-73.9701392550962,17319
57,40.6729519,-73.9681929,10456
58,40.6783847,-73.9481991,8393
59,40.662756,-73.9315559,50977
60,40.666746,-73.9129099,17648
61,40.657362,-73.9144129,14358
62,40.6781335,-73.9107585,12658
63,40.662125,-73.9010529,4751
64,40.6431928,-73.8758501,11971
65,40.662014,-73.8868139,7809
66,40.656684,-73.9045299,12781
67,40.6440501,-74.0725752,31446
69,40.7655092,-73.9800305,73592
73,40.7679985,-73.981908,196439
76,40.7127391,-74.0059511769427,9073
77,40.709806,-74.0099879,10364
78,40.6922283,-73.9872888,5305
81,40.7619533,-73.9253765,27807
85,40.7670326,-73.8876976,35623
87,40.6494014,-73.9631665,35133
88,40.6899292,-73.9815403,34776
89,40.714072,-73.9543399,9058
90,40.703338,-73.8105779,44547
91,40.707399,-73.8269959,54944
92,40.7692188,-73.9818193,18910
94,40.7387664,-73.9997054,59802
95,40.8408333,-73.8430556,12275
102,40.7073827,-73.8037847,14169
103,40.710153,-73.7942642,20144
106,40.724222,-74.0086439,22247
107,40.8628529,-73.9010203,25365
109,40.750353,-73.9397081,22020
110,40.7484278,-73.8767956,41436
111,40.669779,-73.9582919,28058
112,40.672078,-73.9419449,14875
115,40.6922283,-73.9872888,89879
116,40.7055897,-73.8100753,13400
118,40.6030821,-73.9723596,8505
119,40.7401787,-73.9863823,79683
120,40.8043226,-73.9374094,57246
123,40.6399631,-73.9484143,17840
124,40.587072,-73.9527829,31018
126,40.731059,-74.0014015,108849
137,40.634908,-73.9627491,22729
139,40.584809,-73.9830039,22230
146,40.7136948,-73.8300605,49822
149,40.8676616,-73.8972239,20655
150,40.8285672,-73.8792849,15396
151,40.7373064,-73.9966817,62077
153,40.6364926,-74.0854193,2437
